replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
1199953,10.7289915,13.435883,0,0,0.18787038,0.21314882,0.10473128,0.6202508,0.08089531,-0.17055434,0.14013524,0.31008714,-0.62899923,3.386634,0.82830167,6.221094,0.84764093,0.23787038,0.04235016,0.35644653,0.13965629,1.357431,0.82072234,4.8870564,0.03596694,2.7953207,2.2605035,15.673764,0.036974195,1.0010005235671997,0,0,4991,97,51.45360824742268,27.81641606038542,80,16,1.8357305287742494,0.6932927881338946,2.981234906793682,0.6767179290478895,94.45495947538431,62.437454054284345,157.9254669013881,15.87502377699528,0.5136125,0.60820276,0.9992415,-0.9996078,97,94.45495947538431,5.4786626673303545,0.006598054897040129,0.022492249961942434,81.21446512686089,86.72221809905022,93.33539912244305,0
1199953,0.46095458,0.46822238,0,0,0.20118828,15.964415,3.2085562,23.704435,5.1556625,15.986314,3.2122667,23.715527,5.0882163,16.036327,3.3142924,23.729872,3.488463,0.11778039,0.046342693,0.32070348,0.04551817,0.12652633,0.18776439,1.8432419,8.662881e-05,0.28547144,0.502285,4.8211193,0.003276644,2.972506523132324,0,0,9980,211,43.76315789473684,6.2398023916907785,68,31,1.6510968343747852,0.42712544590547596,2.5399362520085664,0.9779034054792769,72.25721146224387,8.138487135271578,99.82548430067452,52.24162897069713,0.2781969,0.2965232,0.8781887,-0.9906542,114,72.25721146224387,5.156850169878453,0.009726841002702713,0.03107648529112339,76.77716657705605,81.97482007322833,175.31269092531875,1
1199953,0.25865722,0.2650355,0,0,1.3210975,30.56947,7.3577566,44.61857,8.514812,30.560112,7.3550406,44.84772,8.131614,30.620953,7.379004,44.359867,7.018073,0.12480919,0.04890563,0.29875797,0.05079931,0.15416715,0.2783963,3.0034716,7.889763e-05,0.39052013,0.8774248,9.469884,0.0007047591,17.69638442993164,0,0,14957,318,46.51401869158879,5.484667645101271,53,27,1.6115155081153019,0.38454489519746426,2.284646440057031,0.9942705048430341,74.95806246626034,8.368365127852924,89.86955926703894,44.97863714024058,0.20496877,0.20137635,0.84323967,-0.99445087,107,74.95806246626034,5.295474858023226,0.008845658041536808,0.021886917296797037,75.43100108206272,80.75720851542428,256.07286382559687,2
1199953,0.34732264,0.348638,0,0,11.7575245,46.940132,9.269562,64.9857,14.4755535,46.917763,9.228856,64.87243,15.022398,47.13883,9.245001,65.09553,14.763814,0.12894702,0.04432246,0.26316646,0.04272027,0.1278162,0.17656714,1.5551682,1.777948e-05,0.27652365,0.3937938,2.8635578,0.002068016,149.2481689453125,0,0,19944,479,30.975155279503106,9.166473010943758,137,27,1.679385793785698,0.4905915131218237,3.441142872691873,-0.30738309446899104,52.01923573670359,18.938438227743397,283.15777772618753,45.56253275428442,0.24855706,0.342228,0.9921701,-0.9997956,161,52.01923573670359,5.809458931908011,0.009814272169023752,0.030271755065768957,74.08006719499826,79.92961215414107,336.00469844508916,3
1199953,11.017239,10.827432,0,0,115.363594,61.602463,10.834239,81.84974,21.765654,61.65696,10.831172,82.45511,22.14516,61.5539,11.100694,82.031975,21.888716,0.13150218,0.045368657,0.35888115,0.04624824,0.12388716,0.21548225,3.1140523,0.00015731154,0.2852942,0.4841396,5.0847816,0.0012884255,1418.65283203125,0,0,24920,545,75.39393939393939,36.110469726591965,191,31,2.206306685933523,0.7825622914292167,4.850032475577853,0.2757563567737525,166.3421525637153,112.22565229026834,590.6633861444343,51.88165833195618,0.11718302,0.39077526,0.9936544,-0.99996674,66,166.3421525637153,5.610758469905704,0.005545197986066341,0.017477171029895544,75.11558988830075,80.74937072722241,416.7570955757983,4
1199953,1.6415498,1.6145043,0,0,1027.2064,75.25671,14.512434,99.639435,29.58459,75.26529,14.523202,99.75595,30.379242,75.00499,14.656195,100.27976,30.461529,0.123771794,0.046088763,0.2970553,0.050034404,0.113316044,0.18042149,1.6997252,8.908901e-05,0.25495642,0.41144124,5.000118,0.0001103699,13956.3203125,0,0,29821,600,89.10909090909091,33.18744161564334,145,36,2.1826317793093413,0.8853312235239303,4.983584000077617,0.05619187904147026,194.49233364354689,106.62160218297925,427.4462039301284,57.932916649719886,0.12177606,0.4817565,0.9998447,-0.9999805,55,194.49233364354689,5.106810580007732,0.006535883992910385,0.0227478900924325,53.86872109211981,59.00481544621289,475.7641606554389,5
1199953,0.8808588,0.8576674,0,0,1635.9097,92.12787,12.675991,113.28693,42.661198,92.192665,12.714187,113.59988,43.503876,91.97916,12.7522745,113.36377,42.38455,0.12427017,0.0490482,0.35194585,0.042607106,0.09196841,0.15259407,1.6178457,6.14681e-05,0.23924568,0.53066,9.660482,0.0011893737,22026.466796875,0,0,34773,686,57.58139534883721,30.695225413234557,171,40,1.7615295650760245,0.7637079847411352,4.56605111775368,0.0857720895950273,101.43133030530784,85.06772184954868,464.5481433404369,58.449631419504456,0.10771662,0.5357686,0.999967,-0.9999516,86,101.43133030530784,5.540194666013122,0.00563738401979208,0.017237190157175064,63.01016383478418,68.57323307497427,544.3397073373199,6
1199953,1.0851985,1.3857127,0,0,1915.6938,101.818375,18.395622,127.104195,8.699298e-05,101.861755,18.35536,126.8785,1.7770249,101.52983,18.237474,126.00714,3.6630597,0.13697237,0.056664314,0.35574403,0.042253103,0.13237487,0.2431639,2.3572195,5.6825334e-06,0.36646348,0.7655594,9.173422,0.00095054484,22026.466796875,0,0,39737,758,68.94444444444444,41.355131647478125,219,41,2.1478829076484742,1.0381640300816237,6.177958388687767,0.20452028630563848,148.08459379954206,152.37559984465798,767.7865398645762,57.363977278120664,0.11463531,0.50947684,0.9997551,-0.99999905,72,148.08459379954206,5.289524434134364,0.011259471997618675,0.03775506000965834,64.65137443225831,69.98991339839995,614.3316645468585,7
1199953,20.65337,20.012743,0,0,1788.2379,115.949356,18.95094,158.08371,9.012903,115.87794,19.044176,162.04027,8.815036,115.17841,19.304222,159.4654,4.5278106,0.13118586,0.054704644,0.37277153,0.049275767,0.11188778,0.2413952,3.3960366,1.9736986e-05,0.31415635,0.7092478,8.98085,0.0007653831,22026.466796875,0,0,44703,823,76.4,27.940486202476315,128,49,2.216220815005286,0.9029593282937088,4.631847341932187,0.9673421255574797,169.31927026640386,91.76704181559788,362.15966654779714,85.02422526672262,0.16625758,0.4438353,0.99752396,-0.9999943,65,169.31927026640386,5.617756511084735,0.0054315621964633465,0.01751417014747858,81.64549038698897,87.28619263041764,701.6214731684886,8
1199953,24.538036,25.277916,0,0,1771.0669,125.76692,20.49015,152.6353,22.187244,125.85258,20.475817,152.75719,22.03461,125.68675,21.72105,152.56554,4.0603266,0.1304063,0.048337486,0.33278802,0.029645527,0.1049949,0.19394748,3.4896564,0.00025569272,0.2558804,0.5035475,9.216597,0.0003509069,22026.466796875,0,0,49623,862,126.15384615384616,45.644410707082685,241,92,2.7520550419444847,1.0898096892775608,6.2730034457872215,0.916595665177222,347.18232836838126,202.4972040236524,882.3539779914188,210.85677538786908,0.04764367,0.47995192,0.9998316,-0.9999999,39,347.18232836838126,5.523435390088707,0.005544004030525684,0.018595437053591013,77.82163259573281,83.36920742690563,784.9926120322198,9
1199953,37.467815,36.841827,0,0,1661.1677,138.0474,22.687567,188.418,15.362185,137.95306,22.70397,188.26399,14.029062,137.7315,23.01389,187.90388,13.914696,0.12541689,0.050952233,0.38926634,0.034920454,0.09878625,0.16194865,2.1270187,0.00016234558,0.32485062,1.1062875,15.583322,0.0007985425,22026.466796875,0,0,54569,891,170.55172413793105,66.05514217206844,263,91,3.2466147757485757,1.2797809566479943,6.520896588277109,0.9652596883749532,553.7157476156019,297.7416441151317,992.6623035544468,204.50450052568866,0.0337171,0.5154368,0.99997693,-0.99999994,29,553.7157476156019,5.513957896269858,0.01221243804320693,0.045470031909644604,72.84978557191789,78.4214259381406,863.416469882708,10
1199953,5.515361,4.885688,0,0,1897.5957,145.90097,24.449137,174.13066,16.925642,145.96771,24.499592,174.66333,14.778091,146.58186,24.807129,177.88686,19.65421,0.1361507,0.049798172,0.36133808,0.047035437,0.13134062,0.2657997,3.1474097,1.3099807e-05,0.32378447,0.7590165,11.340158,0.0022320917,22026.466796875,0,0,59430,927,135.02777777777777,58.278777398481246,238,84,3.0077068147476136,1.2842752970663291,6.414691602274065,0.9298112853547092,406.12396740244856,264.1936458544502,863.672152109248,185.70952667153253,0.052806355,0.5174343,0.999975,-1.0,36,406.12396740244856,5.536548741161823,0.005162743851542473,0.017420716118067503,62.830901382956654,68.39003358408809,931.810341830831,11
1199953,1.8500867,2.6883395,0,0,1859.8834,160.8882,24.430344,193.27983,-6.3083405,160.9183,24.421595,194.53328,-6.3961754,160.40836,24.532108,192.83264,-6.8775535,0.13443857,0.05457323,0.3976478,0.036478218,0.13012068,0.18423726,1.3692445,7.77962e-05,0.2965905,0.61956596,6.674445,0.0018344924,22026.466796875,0,0,64197,959,148.96875,65.31820399733523,256,91,3.0789023561585074,1.2712935406614698,6.526869683968849,0.9160428920141902,458.6602353689876,295.2419207154788,966.5017038109024,200.08603097423912,0.0475864,0.51007235,0.9999723,-1.0,32,458.6602353689876,5.479395208880305,0.005463825073093176,0.019045832101255655,63.0523766707629,68.55628153681755,1000.36850018939,12
1199953,2.4994574,2.3684235,0,0,1778.4725,170.66365,23.947401,203.16196,-14.529232,170.32347,23.820883,204.45724,-16.256155,170.35686,23.6918,205.56422,-16.060608,0.13074252,0.046770014,0.29557,0.046430886,0.106390215,0.1721293,3.042803,2.7670652e-05,0.24014722,0.4445295,7.3441987,0.0008236166,22026.466796875,0,0,69112,986,182.03703703703704,86.63438778439198,470,94,3.2627419439634378,1.2037311051926358,6.2952777204260455,0.973216586944167,593.9398760955667,356.696335906274,1674.4513699196877,218.60558795307182,0.056023024,0.52672374,0.99995106,-1.0,27,593.9398760955667,5.513303678948432,0.009935637004673481,0.03303339704871178,69.23358742473647,74.78986013773829,1075.1607173010707,13
1199953,1.5041846,1.7603619,0,0,1688.1129,177.64124,26.606853,214.41878,-0.97412765,177.56116,26.575628,215.76282,-0.55616355,177.68094,26.634886,217.71156,-1.3850777,0.1266402,0.049614683,0.32227162,0.043316063,0.10007303,0.15469551,1.3710346,0.0001343646,0.24803457,0.5194757,7.7204094,0.0013038581,22026.466796875,0,0,73955,1009,210.56521739130434,35.39936880665053,257,96,3.401631054576313,1.209225793582289,6.246581863681546,0.9567388628115723,716.2651824918732,160.65555644034134,929.83595815608,221.62304673569778,0.042909063,0.53630984,0.9998581,-1.0,23,716.2651824918732,5.2627991759218276,0.005072508007287979,0.01727893576025963,77.58188927778974,82.86703989747912,1158.0308842328377,14
1199953,2.8006527,3.0794983,0,0,1738.8118,187.37985,27.458012,234.6926,-14.193604,187.35576,27.5596,233.47119,-15.883117,187.21552,27.775803,235.68625,-17.396782,0.12894192,0.049080055,0.32245097,0.04318238,0.13581428,0.26193464,3.2354128,1.5873346e-05,0.28394777,0.6455361,8.513976,0.00080098223,22026.466796875,0,0,78907,1035,190.46153846153845,28.056578509025936,283,159,3.4792050741796765,1.3162521850430673,6.9956450346986925,0.9212131416240681,662.6547510514522,127.28140897894652,1113.1602506723182,519.5623282464121,0.03605125,0.5598039,0.99998724,-1.0,26,662.6547510514522,5.033585517201573,0.005167561117559671,0.01731930300593376,55.6879929699935,60.74406535131857,1218.7768027991988,15
1199953,3.879273,3.538433,0,0,1610.8112,197.9621,19.573393,234.45506,99.977806,197.99548,19.520708,234.27429,102.875626,198.7521,19.501686,232.39899,107.85051,0.12313071,0.04615346,0.3698548,0.043132663,0.094961405,0.16285132,1.8448094,5.8422564e-05,0.2200095,0.6476866,13.130516,0.0015387135,22026.466796875,0,0,83819,1071,136.44444444444446,48.20698684057025,255,92,2.98886594686349,1.2513207686985337,6.766176101380027,0.9386188658962277,407.8141536387073,216.22261010366066,948.1677764158131,210.59394295630358,0.054631874,0.5163856,0.9999952,-1.0,36,407.8141536387073,5.079657070804387,0.005563346203416586,0.021773862186819315,65.5272163990885,70.63421067828313,1289.4129188633524,16
1199953,7.32,8.023993,0,0,2002.1891,204.91081,29.169395,260.3792,-33.240208,205.03186,29.194342,258.32803,-33.809757,204.93741,28.210814,258.8615,3.071814,0.14089924,0.051889572,0.36339384,0.04924673,0.11678954,0.22099335,3.5223916,1.6013599e-05,0.3370672,0.8606724,10.570925,0.0012037597,22026.466796875,0,0,88503,1086,312.26666666666665,159.38568177711434,703,136,3.5412210281597942,1.0948042163193699,7.002314150344684,0.9927511096825159,1105.8052863933647,598.50085520603,2603.6331202885813,381.7602727525183,0.05730507,0.54305655,0.9999997,-1.0,15,1105.8052863933647,6.125602167099714,0.008507047779858112,0.03174986317753792,85.84654900571331,92.01240808377042,1381.4274820834398,17
1199953,3.0725927,2.8555367,0,0,1571.502,211.22339,22.702038,250.3953,112.77691,211.38754,22.631292,249.83546,110.486534,211.52252,22.815254,252.35258,108.64964,0.12134607,0.04771325,0.34432456,0.038787466,0.09428328,0.1439043,1.5003831,2.2925246e-06,0.20579101,0.50821334,8.908665,0.00053433195,22026.466796875,0,0,93342,1110,201.625,55.60411592978827,280,94,3.325072096944873,1.248796765783159,6.797739871230037,0.9975995375099364,670.41766154651,252.56933544347285,1057.2882878065464,208.5232017661086,0.058352463,0.5343235,0.99999154,-1.0,24,670.41766154651,5.109838977921754,0.009551023133099079,0.03417374100536108,72.08169423788786,77.23525797994807,1458.665909002535,18
1199953,4.5243382,4.8837767,0,0,1884.1633,215.39584,32.115482,276.16248,-2.8176327,215.80655,31.888487,276.44754,3.1746848,215.47345,31.90435,283.07925,2.574308,0.13554089,0.05953101,0.42062494,0.043003954,0.15385267,0.3181522,2.9167597,0.0001696508,0.3925947,1.1749632,15.79749,0.00036114117,22026.466796875,0,0,98202,1135,194.4,72.02888309560271,294,92,3.3825140450643434,1.2975608369746574,6.8498358817449185,1.0002538873298137,657.5607303605082,319.30539013084535,1075.413307259726,209.37320694722416,0.05245707,0.5519171,0.99999785,-1.0,25,657.5607303605082,5.529752498026937,0.005493993870913982,0.018238537944853306,72.12621830124408,77.67970333108678,1536.3489664159715,19
1199953,3.2938461,3.2389793,0,0,1806.6688,227.29012,32.864944,271.7594,32.252354,227.69116,32.81052,279.2252,33.220966,227.67659,33.054623,282.80972,34.559208,0.13202263,0.055172183,0.37862653,0.031937454,0.11274728,0.18461959,1.3941007,2.2416161e-05,0.2793196,0.6726123,10.674057,0.00024887413,22026.466796875,0,0,103012,1150,320.6666666666667,150.94090087035906,662,130,3.5782470760890166,1.0946753686005806,6.204062552698824,0.9870318954405155,1147.4245623992108,589.633779783987,2423.4995936418295,362.91483887937727,0.05306805,0.54093975,0.9999885,-1.0,15,1147.4245623992108,5.029508703853935,0.0050539299845695496,0.01725769881159067,71.20941795129329,76.26123828394338,1612.6121783214621,20
1199953,3.965516,3.068954,0,0,1834.8726,234.07478,31.432882,269.81107,9.149933,233.74171,31.285103,268.90506,10.525211,233.39589,31.332472,268.67953,5.127947,0.13330309,0.04862155,0.37085265,0.047855783,0.10388809,0.21109127,3.03494,1.9886484e-06,0.26988608,0.701208,10.263964,0.0012421058,22026.466796875,0,0,107969,1183,150.21212121212122,38.72807890278653,296,94,3.0049617079523765,1.2094412944016386,6.396667352910973,1.000452985304399,451.3816723127251,169.36862924343762,1083.4328285921124,205.33970187267363,0.055745937,0.53173876,0.9999992,-1.0,33,451.3816723127251,5.262583720032126,0.0050934599712491035,0.01705027325078845,60.70829112781212,65.99301858106628,1678.6070265797898,21
1199953,26.73772,26.306362,0,0,1762.6476,236.59952,44.03827,286.83762,-7.7463145,236.7261,44.02027,288.65048,-6.7220535,235.36554,44.377773,289.52042,-7.545091,0.13002408,0.05296784,0.365755,0.05048978,0.109150715,0.1728539,1.3795246,7.916293e-05,0.2843014,0.65898454,10.398215,0.0012379207,22026.466796875,0,0,112678,1193,470.9,221.20327755257154,1000,260,3.6639409770148847,0.9466754912026968,6.145636411338868,1.009249860302635,1725.3498060763104,812.969710270028,3671.284447573394,922.6176844408392,0.062833376,0.5496645,0.9999977,-1.0,10,1725.3498060763104,5.506827150005847,0.010547992773354053,0.040953073650598526,69.27078948216513,74.82911769859493,1753.4381995429285,22
1199953,52.541862,49.16324,0,0,1855.741,245.43695,30.067158,291.4373,57.295002,245.29984,30.142511,293.36594,56.748768,244.85033,33.031647,294.12695,3.9897962,0.1342505,0.05392075,0.37469316,0.058270786,0.13479927,0.271804,2.8431704,0.00017234174,0.31429294,0.8049577,10.902744,0.0013448424,22026.466796875,0,0,117140,1204,405.6363636363636,239.37428764756015,838,136,3.2983268126982512,0.8118559945355948,5.204631240463525,1.0017709285467078,1337.9212943872358,889.7245242727037,2956.307531417443,338.4071838396572,0.10762286,0.5353493,0.99999195,-1.0,11,1337.9212943872358,5.421628525946289,0.006120671052485704,0.024428837932646275,75.26409487007186,80.71627290500328,1834.1580944401212,23
1199953,5.093525,4.803846,0,0,1792.1724,247.50053,40.536118,288.30875,-0.094512194,247.67804,40.740074,287.58008,-7.160094,247.43607,41.230984,287.6749,-15.028023,0.1313645,0.050822772,0.42553052,0.049025953,0.12548009,0.30186275,4.1263547,0.00015062673,0.2701431,0.8487209,15.470331,0.00073213363,22026.466796875,0,0,122003,1238,143.02941176470588,15.862433041841985,192,126,2.9072311905818617,1.1111164929220128,6.4966909281390945,1.0056316351477959,415.81956705292924,68.95355570019349,635.3329052875723,343.66384515356134,0.09996403,0.5139824,0.9999976,-1.0,34,415.81956705292924,5.351553571410477,0.007087402045726776,0.025426157750189304,83.31860457081348,88.70267170201987,1922.863144483883,24
