replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
1997998,132.75172,37.774235,132.93575,37.774426,0.00019195335,0.00021774718,0.0009599073,0.0022759514,0.007958826,-0.004961503,-0.009514096,0.0024429902,-0.0031425075,-0.01669558,0.00094879174,0.0022740285,0.0077803857,-0.0049168505,-0.009512437,0.002442451,-0.003361369,-0.016808897,0.00096906425,0.002278664,0.008046472,-0.00490962,-0.009517746,0.002445736,-0.0032241512,-0.016886897,-0.054507356,0.83749276,0.99975187,-0.99903166,8.587891,4.6152406,14.89944,-2.0530956,1,1,-4.0131245,0.0010179407,0.0022943786,0.007630127,-0.0047960905,-0.0094942935,0.0024319764,-0.0034415456,-0.016858788,8.584478,4.61582,14.895036,-2.060381,-4.022635,0.5323343,-2.4236946,-5.1009984,4.3038835e-05,0.0015153683,0.003984668,-0.004133897,0.00035371492,0.0016604199,0.004412342,-0.0042821215,0.9998999834060669,-0.0,1000,1,1000.0,0.0,1000,1000,-0.5072592243355207,0.7984852978001421,1.985929189518038,-3.023922750413699,-507.2592243355207,0.0,-507.2592243355207,-507.2592243355207,-0.13399132,0.643502,0.9993388,-0.9986811,1,-507.2592243355207,1000,1,1000.0,0.0,1000,1000,0.0002893821300779164,0.014830529977079223,0.1734987678476016,-0.22165892745865062,0.2893821300779049,0.0,0.2893821300779049,0.2893821300779049,-9.4522575e-06,0.00076852733,0.001617759,-0.0014401086,1,0.2893821300779049,0.7141198200406507,0.003432375960983336,1.0626262370496988,30.262284947908483,32.042463380959816,44.22207620495465,0
1997998,25.247112,-7.7149506,24.170975,-7.606289,5.001875,5.0060234,4.1626616,24.551239,44.303146,-31.223959,4.195016,24.469225,45.109074,-31.13204,-1.1369923,23.503416,41.776817,-31.190617,-1.0773418,23.527029,41.639572,-31.117506,0.76575524,24.866215,46.38978,-31.184956,0.68885136,24.857233,46.70301,-31.006193,-0.0490443,0.84156305,0.9999293,-0.9998061,7.756926,4.724213,15.6474495,-1.1433681,1001,1001,-5.9115024,13.866256,22.383862,47.52765,-14.338097,13.96955,22.333538,47.849262,-14.398953,13.689829,22.926708,50.687187,-15.183209,-1.8790996,2.305257,5.645908,-7.584463,-0.02928192,0.6911044,1.2979759,-1.323294,0.100648664,0.17067374,0.5812743,-0.27811107,0.9073963165283203,-0.764892578125,2000,2,1000.0,0.0,1000,1000,-0.24366519339240403,0.9101410315249604,3.2364398599593107,-3.0843730289254045,-243.66519339240426,0.0,-243.66519339240426,-243.66519339240426,0.05371971,0.7407118,0.9999811,-0.9997792,1,-243.66519339240426,2000,2,1000.0,0.0,1000,1000,0.3852432833837105,0.4553897638851121,1.4921660772236744,-0.5256933121007379,385.24328338371055,0.0,385.24328338371055,385.24328338371055,-0.022276975,0.23666842,0.5457563,-0.5182515,1,385.24328338371055,0.7498848780523986,0.0032689489889889956,1.0896492350148037,24.248662880971096,26.091465943027288,70.31693743821234,1
1997998,65.29429,-9.389943,64.824715,-9.12336,5.8109293,5.8408566,-9.492805,48.848763,72.70533,-77.46978,-9.493213,48.907833,72.387955,-77.541794,-15.831365,48.418163,66.81112,-78.07798,-15.783287,48.567562,64.69165,-77.95329,-14.222598,48.93818,60.84009,-78.26686,-14.323543,49.14864,61.57016,-78.05286,-0.06283166,0.8387568,0.9992836,-0.99940336,7.75845,4.5802536,14.793527,-0.523293,2001,2001,7.7673225,1.1359124,47.132496,73.32767,-59.45508,1.103127,47.234135,72.32569,-58.065945,1.7131901,47.672543,81.63937,-58.80959,-1.7913692,2.6932774,7.0186234,-7.256012,-0.06697425,0.76302856,1.2762692,-1.3013335,0.05974262,0.18889546,0.562339,-0.45989513,0.8231106996536255,-1.5159486532211304,3000,3,1000.0,0.0,1000,1000,-0.1974782791899375,0.8410200416258993,2.6270271897276345,-2.970654927995396,-197.4782791899375,0.0,-197.4782791899375,-197.4782791899375,0.035447158,0.73902035,0.9999462,-0.99997544,1,-197.4782791899375,3000,3,1000.0,0.0,1000,1000,1.0478435437660367,0.4802321466875,2.3393780031357836,-0.576526528909909,1047.8435437660362,0.0,1047.8435437660362,1047.8435437660362,0.011682243,0.2690377,0.7986476,-0.6911773,1,1047.8435437660362,0.7051111829932779,0.005064407014288008,1.0071555139729753,25.183147937990725,26.900479041971266,97.22070547437761,2
1997998,67.659195,-8.800568,69.73402,-8.627678,6.4768324,6.6663885,-22.833933,75.382095,81.53326,-132.03386,-22.50835,75.33608,82.320274,-132.58028,-30.509205,75.20776,77.87825,-135.95451,-30.20816,75.124466,79.96883,-136.20921,-28.331635,75.88905,80.02322,-135.32262,-28.28979,76.200615,81.54159,-136.48973,-0.08588002,0.82847804,0.9996033,-0.99955803,7.934234,4.780084,14.707068,-1.0635918,3001,3001,21.789436,-12.120821,72.813995,83.61012,-102.286514,-11.640358,72.87511,84.5098,-100.98179,-11.121958,74.23996,89.96413,-105.286255,-1.4064531,2.7131479,9.74401,-7.343258,-0.068540655,0.7896219,1.6314791,-1.6277096,0.03878721,0.19721529,0.7751493,-0.5100475,0.7471739053726196,-2.1579482555389404,4000,4,1000.0,0.0,1000,1000,-0.11846809094609324,0.7751722550107593,2.388253245653691,-2.761362876461761,-118.46809094609323,0.0,-118.46809094609323,-118.46809094609323,0.036009897,0.7289062,0.999953,-0.9999727,1,-118.46809094609323,4000,4,1000.0,0.0,1000,1000,1.167197809366936,0.6801413798108475,2.97094148580731,-0.6793282591864253,1167.1978093669354,0.0,1167.1978093669354,1167.1978093669354,-0.019766513,0.37679267,0.80323786,-0.77980995,1,1167.1978093669354,0.8657169889193028,0.0029736639698967338,1.0468425990547985,21.058267368003726,22.973800619947724,120.19999345531687,3
1997998,112.2596,-5.8052673,107.20651,-4.9903564,7.121685,7.2269096,-46.326767,101.24664,97.33507,-174.12518,-45.46468,101.46689,98.643105,-175.66518,-55.14399,101.93245,92.51697,-192.6337,-54.08673,101.8742,95.528305,-190.64418,-53.26698,102.63816,94.21441,-189.49681,-52.75672,102.778206,97.2259,-191.57729,-0.06278809,0.82345474,0.9999089,-0.99982935,7.6313524,4.7615967,14.919196,-1.9787518,4001,4001,45.299892,-36.213943,99.005646,98.0117,-149.5594,-35.438805,99.274155,98.56772,-152.13252,-34.123722,99.84894,104.6699,-154.6053,-1.3112524,2.7683718,6.608411,-7.395113,-0.06127606,0.86465895,1.526426,-1.6938089,0.0038435098,0.2141716,0.7455134,-0.73962325,0.6786847114562988,-2.8331336975097656,5000,5,1000.0,0.0,1000,1000,-0.11727695370197498,0.7953152609998465,2.2136593007272225,-2.8507776822152295,-117.27695370197485,0.0,-117.27695370197485,-117.27695370197485,0.022733577,0.7257182,0.99995255,-0.9999184,1,-117.27695370197485,5000,5,1000.0,0.0,1000,1000,1.5432220641241678,0.9627995284329489,3.903648171357884,-0.6909844448942701,1543.2220641241706,0.0,1543.2220641241706,1543.2220641241706,-0.035444696,0.45756269,0.8646178,-0.834949,1,1543.2220641241706,0.6869547800160944,0.0030229020630940795,1.0371287119342014,22.269618371035904,23.996724765049294,144.1996568243485,4
1997998,108.89465,-8.88887,104.25101,-9.1651,8.664604,8.515377,-51.230843,128.56894,121.848755,-223.63725,-52.32892,128.75298,122.10464,-225.83466,-63.250164,130.59674,119.47209,-236.00816,-63.781868,130.09964,118.69231,-238.53815,-60.527294,131.18367,120.95493,-234.52646,-62.250877,131.252,118.82254,-233.91837,-0.07675354,0.83874613,0.99978083,-0.99944824,8.023671,4.816629,14.858652,-0.7796603,5001,5001,52.07865,-41.004257,126.07848,123.93566,-182.7564,-42.16768,126.58504,123.25079,-184.26642,-43.29435,127.6533,125.76387,-198.97002,-0.6006468,3.0482259,7.1820602,-9.681178,-0.09815282,0.960353,1.9052112,-1.7887193,-0.05249989,0.2413337,0.62457633,-0.9168277,0.6169636249542236,-3.1871280670166016,6000,6,1000.0,0.0,1000,1000,-0.019084812259852996,0.7769280084491854,2.0728342374627515,-3.0366832639006915,-19.08481225985298,0.0,-19.08481225985298,-19.08481225985298,0.031018984,0.718319,0.9998827,-0.9999537,1,-19.08481225985298,6000,6,1000.0,0.0,1000,1000,2.3138221339755383,1.4384971570028908,5.204700737336713,-2.302730081910886,2313.822133975537,0.0,2313.822133975537,2313.822133975537,-0.083796434,0.63682055,0.96255034,-0.9369244,1,2313.822133975537,0.6832619709894061,0.0029488709988072515,1.0064438480185345,21.400858832988888,23.093513522995636,167.29618493537419,5
1997998,73.14893,-10.308243,78.390945,-10.693588,9.416906,9.304581,-52.44813,152.68195,140.66972,-260.22797,-51.008278,153.25941,138.49397,-258.21887,-66.53595,154.46898,130.30586,-277.04605,-64.784935,155.08261,132.11768,-282.39056,-63.0328,155.2856,134.04489,-269.09348,-61.81137,156.50093,136.30748,-277.63397,-0.13058354,0.8307096,0.99987024,-0.9988244,8.0221195,4.860573,14.995144,-0.60223836,6001,6001,52.864777,-42.593723,150.51454,138.94164,-222.93413,-41.364243,150.96797,136.95325,-220.21603,-42.74638,150.42152,144.7309,-233.30675,-0.12349065,3.2889333,11.72817,-7.7191467,-0.14246632,1.0097917,1.8475628,-1.7896953,-0.072158374,0.23153685,0.5700744,-0.98660725,0.5616145133972168,-3.532313823699951,7000,7,1000.0,0.0,1000,1000,0.07706766461310896,0.815043273944505,2.6974535164844484,-2.326438412314576,77.067664613109,0.0,77.067664613109,77.067664613109,0.013572645,0.7222164,0.99967045,-0.9997425,1,77.067664613109,7000,7,1000.0,0.0,1000,1000,3.138355155901089,1.3031611269216257,5.6597680387356375,-0.7924134840497434,3138.355155901092,0.0,3138.355155901092,3138.355155901092,-0.0908985,0.7097228,0.94373137,-0.94786257,1,3138.355155901092,0.6849022440146655,0.003252536989748478,1.0553532870253548,23.54293155099731,25.286439619027078,192.58552572340705,6
1997998,96.38371,-11.488098,98.668945,-11.318909,10.467772,10.542751,-69.79033,172.89597,164.47354,-281.0622,-70.004616,173.0139,161.31595,-276.05197,-86.57867,175.38443,148.90952,-315.54773,-86.78865,174.7627,144.16472,-319.59503,-83.25472,176.51488,163.64137,-306.11847,-84.02054,176.89932,161.09625,-318.03693,-0.07026502,0.84538364,0.999759,-0.9995545,7.962064,4.7251167,14.735318,-1.1931843,7001,7001,72.341385,-61.034317,171.46936,163.89194,-248.8526,-61.380173,171.60243,160.76103,-251.41057,-62.40181,172.55849,172.16075,-260.7293,0.4834709,3.3493452,9.610443,-6.8974266,-0.11020108,1.1070691,1.9527863,-2.3050485,-0.13704006,0.26154125,0.634412,-1.1371527,0.5117588639259338,-3.695024251937866,8000,8,1000.0,0.0,1000,1000,0.12876866013067326,0.8265967516589564,2.7004179059548505,-2.208862472790872,128.7686601306733,0.0,128.7686601306733,128.7686601306733,-0.011345345,0.71415263,0.99991137,-0.99988115,1,128.7686601306733,8000,8,1000.0,0.0,1000,1000,3.664359733894987,1.47978935325456,6.611642339153514,-1.3755027391967602,3664.359733894985,0.0,3664.359733894985,3664.359733894985,-0.110052995,0.7803401,0.95357025,-0.9653743,1,3664.359733894985,0.7070284499786794,0.0031706138979643583,1.081860093981959,28.281983401975594,30.074042559834197,222.66271263826638,7
1997998,125.55179,-10.027893,104.80031,-11.17984,11.126381,11.424635,-69.62169,192.6906,178.47044,-289.0646,-70.072266,192.67697,177.56491,-299.15796,-88.17222,195.41891,160.91724,-326.8607,-89.06024,195.24258,160.40057,-333.51093,-83.26599,195.89085,172.37599,-320.30264,-85.00665,196.61906,168.21881,-319.5971,-0.10310673,0.83086836,0.9999894,-0.9993813,8.102268,4.6556892,14.484196,-0.616327,8001,8001,71.713844,-61.375862,191.5263,177.16487,-263.0753,-61.929466,191.57933,177.6317,-263.65906,-64.26137,191.2871,181.4864,-277.70053,0.9275658,3.62168,12.60959,-7.523596,-0.11317555,1.1557562,2.3650274,-2.0737882,-0.17557514,0.27266532,1.0204607,-1.2319832,0.4672737419605255,-3.8588578701019287,9000,9,1000.0,0.0,1000,1000,0.16883653697266368,0.8828620446788434,3.0050052641353684,-2.4810751608419523,168.8365369726639,0.0,168.8365369726639,168.8365369726639,-0.057581518,0.72042716,0.99992734,-0.99993044,1,168.8365369726639,9000,9,1000.0,0.0,1000,1000,4.114432066396094,1.5360696519266914,7.212107765181384,-1.0724024605600602,4114.432066396093,0.0,4114.432066396093,4114.432066396093,-0.11203601,0.8115737,0.9854593,-0.97967887,1,4114.432066396093,0.6953102820552886,0.0030004139989614487,1.0203883290523663,27.41571599303279,29.134415018139407,251.80024428258184,8
1997998,104.787544,-6.636612,103.65785,-6.1692047,11.525934,11.713549,-51.625404,209.62173,202.82307,-301.8223,-53.910633,209.78336,201.24117,-304.53674,-71.77865,213.09802,193.22086,-342.6066,-74.22062,213.30464,192.73917,-352.0022,-65.70488,213.91086,197.55289,-325.51974,-69.08592,215.38023,197.00227,-335.2268,-0.057688087,0.8181768,0.99973446,-0.9995184,8.319927,4.745454,14.662011,-0.44007844,9001,9001,55.766567,-45.515636,208.99316,200.5423,-275.2997,-47.961445,209.07951,198.53403,-280.21976,-46.626236,208.48943,205.89954,-284.39713,1.203438,3.826038,16.617981,-5.7412834,-0.08148547,1.1915622,2.2329555,-2.347847,-0.22675858,0.2630341,0.6267953,-1.1916692,0.4273490905761719,-4.077397346496582,10000,10,1000.0,0.0,1000,1000,0.19498775486401349,0.8743648957862835,2.926761483421879,-2.1059323965331687,194.98775486401348,0.0,194.98775486401348,194.98775486401348,-0.017120097,0.7172184,0.9999797,-0.9998808,1,194.98775486401348,10000,10,1000.0,0.0,1000,1000,3.837785728381347,1.5735801409627461,7.1400740815632275,-1.340234537727641,3837.7857283813473,0.0,3837.7857283813473,3837.7857283813473,-0.09979749,0.8240193,0.98810965,-0.984407,1,3837.7857283813473,0.6866778020048514,0.003030095947906375,1.0651424740208313,20.74940112105105,22.50425149302464,274.30740476748906,9
